,Geneid,_filesTien_Cont1_S25sorted,_filesTien_Cont2_S26sorted,_filesTien_Cont3_S27sorted,_filesTien_Zn1_S28sorted,_filesTien_Zn2_S29sorted,_filesTien_Zn3_S30sorted
3074,ENSG00000238526,0,0,0,0,0,0
3075,ENSG00000117362,35,44,316,40,52,363
3076,ENSG00000118292,0,1,5,15,4,9
3077,ENSG000001592081,4,51,15,185,13,47
3078,ENSG000001871451,142,1653,3926,3406,1816,2447
3079,ENSG00000117360,51,401,73,65,51,174
3080,ENSG000001631251,267,3610,5073,4190,3711,2524
3081,ENSG000001433741,201,2504,3682,3351,3080,2051
3082,ENSG000001433691,19,186,248,385,272,195
3083,ENSG00000228126,2,31,41,52,49,38
3084,ENSG00000237781,1,14,23,34,22,13
3085,ENSG00000143382,68,813,1195,1680,1360,968
3086,ENSG00000225996,0,0,0,0,0,0
3087,ENSG00000264553,0,0,4,5,2,3
3088,ENSG00000203804,0,3,4,3,2,6
3089,ENSG00000264508,0,2,9,8,3,4
3090,ENSG00000264584,1,9,6,9,7,4
3091,ENSG00000143384,1557,21195,30075,25738,23637,15563
3092,ENSG00000253047,3,8,30,20,18,18
3093,ENSG000001434201,773,10784,14733,11147,10043,7352
3094,ENSG00000143457,182,2502,3464,2493,2114,1432
3095,ENSG000001434521,6,15,24,7,14,8
3096,ENSG00000206931,0,0,0,0,0,0
3097,ENSG00000163131,0,1,6,6,2,1
3098,ENSG00000236713,0,0,0,0,0,1
3099,ENSG00000143387,20,337,540,421,365,242
3100,ENSG00000224690,0,0,0,1,3,2
3101,ENSG000001434371,282,4199,5749,4474,3997,2690
3102,ENSG00000200175,0,0,3,0,0,0
3103,ENSG00000224800,0,3,3,7,2,1
3104,ENSG00000212512,0,0,0,0,1,0
3105,ENSG00000229357,0,1,0,0,2,0
3106,ENSG00000143379,237,3367,4617,3946,3666,2470
3107,ENSG000001434181,461,6050,8622,7375,6468,4644
3108,ENSG00000259357,0,0,0,0,0,0
3109,ENSG00000231073,1,4,18,7,9,9
3110,ENSG00000143412,4,194,188,172,162,125
3111,ENSG000001434091,21,532,818,655,482,353
3112,ENSG000001433631,106,1329,1853,1568,1371,934
3113,ENSG00000200759,0,3,6,3,1,0
3114,ENSG000001631411,9,57,61,62,35,61
3115,ENSG00000143443,35,384,555,330,397,258
3116,ENSG00000197622,270,3896,5225,4717,4251,2888
3117,ENSG00000213190,158,2313,3168,2532,2148,1376
3118,ENSG00000143458,35,645,816,770,636,484
3119,ENSG00000233717,0,0,2,2,0,3
3120,ENSG00000261168,9,75,103,64,55,71
3121,ENSG000001434341,144,2148,3069,2178,1809,1249
3122,ENSG00000163154,0,6,10,11,0,6
3123,ENSG00000163156,113,1444,2028,1879,1819,1315
3124,ENSG00000163155,24,480,760,588,593,407
3125,ENSG000001631571,0,0,0,0,0,0
3126,ENSG00000163159,363,5007,6938,6175,5634,3850
3127,ENSG000001433981,675,8784,12833,10926,10196,7045
3128,ENSG000001593521,786,10260,14257,12054,11083,7446
3129,ENSG00000232671,0,20,28,16,37,11
3130,ENSG000001433731,327,5242,7179,5028,4568,2862
3131,ENSG000001433931,225,2797,4043,3240,2847,1947
3132,ENSG00000265753,0,1,7,1,6,2
3133,ENSG00000273481,2,11,17,7,17,7
3134,ENSG000001433901,235,3136,4347,3447,3214,2374
3135,ENSG00000224645,0,0,0,0,0,0
3136,ENSG00000237976,3,41,49,50,34,30
3137,ENSG000001434161,109,1700,2302,1737,1471,1050
3138,ENSG00000159377,1066,14436,20196,16033,14147,9158
3139,ENSG000001434421,699,9428,13231,10898,9421,6511
3140,ENSG00000238711,1,6,5,9,15,3
3141,ENSG000001433751,244,3203,4558,3984,3592,2621
3142,ENSG00000252840,0,0,1,2,0,0
3143,ENSG000001433671,66,878,1230,1223,1182,763
3144,ENSG00000232536,1,5,8,3,7,10
3145,ENSG00000207606,0,1,1,0,0,0
3146,ENSG00000223861,0,2,1,11,6,2
3147,ENSG00000250734,0,0,5,3,2,2
3148,ENSG00000143376,316,3643,4932,3922,3698,2410
3149,ENSG00000206635,0,0,0,1,0,0
3150,ENSG00000227045,0,4,5,5,3,4
3151,ENSG000001594091,0,10,13,6,6,7
3152,ENSG00000178796,0,0,0,0,1,0
3153,ENSG00000240510,0,0,0,0,0,0
3154,ENSG00000206980,0,0,0,0,2,1
3155,ENSG00000269621,0,0,0,0,0,0
3156,ENSG00000236940,0,2,3,0,1,0
3157,ENSG00000143436,110,1551,2219,2127,1847,1338
3158,ENSG000001434501,1,18,28,15,14,11
3159,ENSG00000249602,0,15,14,18,13,7
3160,ENSG00000232937,0,0,0,0,0,0
3161,ENSG00000268288,0,1,1,0,0,0
3162,ENSG000001821341,38,560,817,640,577,385
3163,ENSG00000203288,2,9,12,13,5,3
3164,ENSG00000269489,0,0,0,0,1,0
3165,ENSG00000213171,0,0,0,2,1,0
3166,ENSG000001433651,5,25,16,18,17,13
3167,ENSG00000225556,3,61,100,96,86,50
3168,ENSG00000201134,0,6,4,4,3,6
3169,ENSG00000234614,6,76,65,57,39,41
3170,ENSG00000196407,5,64,83,67,65,38
3171,ENSG00000159445,178,2615,3813,2892,2482,1770
3172,ENSG00000223810,0,0,0,0,3,0
3173,ENSG00000197747,282,3617,5187,6331,6078,4067
3174,ENSG00000229021,2,2,11,10,7,12
