Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
EIF5	544.0	8358.0	11774.0	9759.0	8966.0	6309.0
EIF5A2	31.0	396.0	519.0	485.0	433.0	269.0
EIF5AL1	62.0	743.0	1140.0	1102.0	1079.0	724.0
EIF5AP2	0.0	0.0	0.0	2.0	0.0	0.0
EIF5AP3	0.0	2.0	2.0	6.0	3.0	9.0
EIF5AP4	6.0	94.0	124.0	98.0	80.0	68.0
EIF5B	874.0	12540.0	18268.0	17923.0	15084.0	10420.0
EIF6	184.0	2241.0	3137.0	2858.0	2713.0	1929.0
ELAC1	13.0	148.0	212.0	113.0	130.0	94.0
ELANE	0.0	1.0	1.0	0.0	0.0	0.0
ELAVL1	498.0	6509.0	9367.0	7571.0	6784.0	4522.0
ELAVL3	11.0	193.0	299.0	273.0	207.0	168.0
ELF1	61.0	1027.0	1417.0	1051.0	1173.0	780.0
ELF5	0.0	0.0	0.0	1.0	0.0	0.0
ELFN1	75.0	951.0	1156.0	1394.0	1239.0	803.0
ELK1P1	0.0	0.0	0.0	0.0	0.0	0.0
ELK2AP	0.0	0.0	0.0	0.0	0.0	0.0
ELK2BP	0.0	0.0	0.0	0.0	0.0	0.0
ELK3	298.0	4182.0	5771.0	5359.0	4547.0	3063.0
ELK4	218.0	3198.0	4338.0	4080.0	3347.0	2373.0
ELL	77.0	1033.0	1427.0	1338.0	1172.0	780.0
ELL2P1	0.0	8.0	12.0	10.0	14.0	8.0
ELL2P2	0.0	0.0	0.0	0.0	0.0	0.0
ELL2P3	0.0	0.0	0.0	0.0	0.0	0.0
ELL2P4	0.0	0.0	0.0	0.0	0.0	0.0
ELL3	0.0	9.0	17.0	16.0	4.0	10.0
ELMO1-AS1	0.0	0.0	1.0	1.0	1.0	2.0
ELMO2P1	0.0	0.0	0.0	0.0	0.0	0.0
ELMOD1	7.0	60.0	84.0	84.0	50.0	60.0
ELMOD2	120.0	1576.0	2181.0	1644.0	1553.0	962.0
ELMSAN1	56.0	830.0	1137.0	1101.0	951.0	646.0
ELOF1	102.0	1437.0	2082.0	2065.0	1878.0	1356.0
ELOVL1	66.0	1190.0	1740.0	1551.0	1473.0	911.0
ELOVL2	32.0	303.0	424.0	457.0	370.0	255.0
ELOVL2-AS1	0.0	4.0	8.0	2.0	0.0	2.0
ELOVL3	0.0	0.0	0.0	11.0	5.0	0.0
ELOVL4	45.0	527.0	679.0	536.0	517.0	293.0
ELOVL5	552.0	6990.0	9713.0	7237.0	6609.0	4442.0
ELOVL6	219.0	2626.0	3597.0	2728.0	2442.0	1686.0
ELOVL7	19.0	277.0	378.0	361.0	313.0	188.0
ELP2	268.0	3349.0	4656.0	3854.0	3424.0	2424.0
ELSPBP1	0.0	0.0	0.0	0.0	0.0	0.0
ELTD1	0.0	2.0	2.0	14.0	11.0	3.0
EMB	182.0	2418.0	3607.0	2815.0	2325.0	1516.0
EMBP1	0.0	0.0	4.0	3.0	1.0	1.0
