gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG000001415435,2941.47976197642,0.0426271004873068,0.0513163935958364,0.381772399282091,0.632065325168926
ENSG000002200324,28.8727597911454,-0.0429350271514404,0.159497738488304,0.381677242423361,0.632065325168926
ENSG0000010033011,765.179338064813,0.0596560934425505,0.0781829138239082,0.381740989125828,0.632065325168926
ENSG0000010010113,417.928176746603,0.0677708786947112,0.0993188430353909,0.38178861828071,0.632065325168926
ENSG0000016259911,289.438243432311,-0.0721629818838552,0.110596063629937,0.381935413722789,0.63217039734001
ENSG000001691937,123.567036582359,0.0691582866752719,0.143769952036943,0.3818941683908,0.63217039734001
ENSG000001441189,710.610991309692,0.0643544071039277,0.0865088031501842,0.382098043076189,0.63223267258397
ENSG0000016457411,690.649019460014,0.0635511454423989,0.0850919107313283,0.382054858038428,0.63223267258397
ENSG000002368295,104.120521035653,-0.0643769174997055,0.150419731238731,0.382081844711527,0.63223267258397
ENSG000000293647,1166.98617099271,-0.0563751627035085,0.0719692096444522,0.382234922113857,0.632390194442651
ENSG000002342681,40.1580545695935,0.0501430518695651,0.158152702837208,0.382385567311101,0.632570454951083
ENSG0000016229012,42.3095269646302,0.0232639615662672,0.160680043499959,0.382534642978461,0.632610151271083
ENSG0000011264010,1260.16857968571,0.0515462515186663,0.0643882626647155,0.382507536083082,0.632610151271083
ENSG000001352989,42.1608938759457,-0.0511503409105175,0.157583843563365,0.38252250784131,0.632610151271083
ENSG000002050785,142.79986594646,-0.0711444126151742,0.141890543624528,0.382622597451109,0.632617704165379
ENSG000001984773,212.456939499349,-0.0738430687912471,0.122570500779572,0.382610913572052,0.632617704165379
ENSG000001802339,857.218461619057,-0.0631959663148305,0.0804007559179378,0.382874858091151,0.632965811921664
ENSG0000011746110,871.984475348161,-0.0594402196379839,0.078789571991248,0.383349783769,0.633186940406562
ENSG000002255062,60.9838791648902,-0.0576264963912373,0.155095910091178,0.383058901760958,0.633186940406562
ENSG000001711507,976.826153743908,-0.0552018335955737,0.0705676147149359,0.383387406788628,0.633186940406562
ENSG000001802288,1530.59274103644,0.0478765942787789,0.0590159725017092,0.383425928191886,0.633186940406562
ENSG000002291804,152.294992129208,0.0732020043060307,0.134140776362522,0.383199697903718,0.633186940406562
ENSG0000016527210,63.3853560600692,0.0622043605357884,0.153427839158643,0.383169292076532,0.633186940406562
ENSG0000010774512,913.077664109492,-0.059642586473104,0.0782195332003399,0.383300581511879,0.633186940406562
ENSG0000005595012,505.11229474355,0.0683560679961014,0.0969274574048222,0.383373905639901,0.633186940406562
ENSG000001267907,312.535281342262,0.071609663094214,0.109588512933754,0.383321681479931,0.633186940406562
ENSG000001791015,62.7973888380919,-0.0620260644858351,0.152572468648884,0.38342494775006,0.633186940406562
ENSG000000760536,1498.63431375067,-0.0545853330031148,0.070086689366867,0.383709133752594,0.633538242111243
ENSG000001041426,1335.1802946796,0.0589817891879614,0.0763792982897247,0.38372216733687,0.633538242111243
ENSG000001822613,29.701201636554,-0.0469072371420825,0.159357429910954,0.383927474030908,0.633808243223911
ENSG000000631778,12762.5155981281,0.0267184010408251,0.031275951707666,0.38400124608887,0.63386106472002
ENSG0000010074410,520.276621539608,-0.066561724119688,0.0939064110663579,0.384090093345458,0.63393875626353
ENSG0000010976211,419.898202044053,0.0710551849691165,0.106452341499174,0.38422268067094,0.633977812102221
ENSG000001378199,216.267390714462,0.0735424082115345,0.122398670067013,0.384178996637868,0.633977812102221
ENSG000002642781,58.3142731076011,-0.060938016503611,0.153685530434641,0.384239106313321,0.633977812102221
ENSG000001445609,1186.17660694817,-0.0527246184860284,0.0668951271986082,0.384355139518219,0.634100307916705
ENSG0000013511910,403.169069690157,0.0690430873054104,0.100816543528175,0.384603645840619,0.634306140082478
ENSG000002179303,167.509271776366,0.0720102942678312,0.134541695937279,0.384572528474712,0.634306140082478
ENSG0000018887812,217.459367159552,0.072869020535383,0.126345261770386,0.384638761146087,0.634306140082478
ENSG0000008906310,2262.52783300577,0.0439075239588406,0.0534368011519628,0.384647122843135,0.634306140082478
ENSG000000113475,398.314726421731,0.0709904739865653,0.106385705583413,0.384755670296202,0.634416190545999
ENSG000002445671,78.8341170216545,-0.0630402210464152,0.151164667842566,0.384929057306357,0.634436646074731
ENSG000000827817,3453.77269901325,0.038382891129325,0.0462247111208449,0.384893820979503,0.634436646074731
ENSG000002047908,155.749552295245,0.071990665875602,0.138843884826814,0.384935330110326,0.634436646074731
ENSG000001032746,573.35185429032,-0.0670513169630169,0.0957120672032708,0.384923278316273,0.634436646074731
ENSG000001749539,2898.84010764948,-0.0425574693353583,0.0519546700405324,0.385086834792126,0.634617415477454
ENSG000002136213,66.7759676247206,0.0614698401190051,0.152884067749168,0.385145439162941,0.634645063903052
ENSG0000012993316,1749.90653216853,-0.051075764651738,0.0641120573990869,0.385419632982481,0.635027917389856
ENSG000001175866,44.4596929887014,-0.052941615049129,0.157022242794692,0.385784313135779,0.635528074091045
ENSG000000111983,442.872368840417,-0.0680590274316025,0.100781940127163,0.385925801843706,0.635528074091045
ENSG0000018362111,81.7927711017627,-0.0647590388759729,0.150563102175569,0.385949210292899,0.635528074091045
ENSG000001656699,466.754095729576,0.0691705257138844,0.100170258704358,0.385974507529755,0.635528074091045
ENSG000001029964,3112.86963377861,-0.042216166166147,0.0514067327213892,0.385880672739885,0.635528074091045
ENSG000001291943,57.8629472026562,0.0577122103964756,0.155168457431624,0.385854476442384,0.635528074091045
ENSG000002320191,28.3671522442864,-0.0385910343179573,0.159754949795954,0.386111322060884,0.635684363024067
ENSG000002359272,27.3501314788214,0.0417647568843838,0.159852061240996,0.386370102252662,0.636041397578348
ENSG000002616551,31.5597061065443,0.0488690007562352,0.158875274437793,0.386450331337498,0.636104456214347
ENSG000001817546,71.8156590221686,0.0638763634941762,0.150814412310253,0.386595198497454,0.636202470403587
ENSG000001382318,528.241743848258,0.0681030639499064,0.097846330895481,0.386635667276839,0.636202470403587
ENSG000002499153,1293.63357487914,-0.0511442652178037,0.0648209085742917,0.386582977673304,0.636202470403587
ENSG000002147197,44.9843898884247,0.056386734077782,0.156243225126898,0.386771787886905,0.636357442811539
ENSG000001051313,61.6170599696726,0.0593740077008349,0.155457648547752,0.386946813968243,0.636576386028423
ENSG000001798189,517.839384453602,-0.0658461740981641,0.0933813992606855,0.387052133481174,0.63668061809517
ENSG0000016490411,5775.06230899299,0.0326989453204132,0.0389446621383035,0.387106472351206,0.63670097615012
ENSG000002441873,134.414352147375,0.0707568070777772,0.141899087488879,0.387158340686844,0.636717266772326
ENSG0000008251512,697.305755554534,0.0606332284402305,0.0811711319816152,0.38731600533808,0.6368385076934
ENSG000000346777,781.499153385595,0.0583781559947621,0.0768599478565606,0.387308514562871,0.6368385076934
ENSG000000404878,358.32333917095,0.072028556358787,0.111222379787431,0.38747035607889,0.636839805646074
ENSG000000474579,80.1784027290207,0.0645632737353103,0.151101646447303,0.387363766232721,0.636839805646074
