"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"B9D2",33.9811013507705,-0.0111132357136834,0.155328925213505,0.851468648837,0.9438513720807
"BACH1-IT1",19.374268357191,-0.00407756417703674,0.161080814392402,0.926444676510477,NA
"BACH1-IT2",6.20848420113603,0.0135853952796372,0.165803904481283,0.663245982229417,NA
"BAD",98.8878059863264,-0.0743199577064126,0.153131264064937,0.364893850305994,0.649260972774059
"BAG3",612.752341278157,0.129966982624238,0.09020450004639,0.0901581870934293,0.285540643058896
"BAG4",1675.63573555963,-0.0479790726902712,0.0585379859810757,0.380332099781605,0.660998078964927
"BAG5",1242.41367459569,-0.0441073927159792,0.0759825567847616,0.511713501623944,0.758370040194806
"BAG6",64.8777274310771,0.0253706235622802,0.169050234598062,0.282368563644207,0.567569975793016
"BAHD1",1436.02273424245,-0.10218371368063,0.06364023344023,0.0813503918011621,0.26681345048167
"BAI1",496.897885329984,-0.00413828240054516,0.0901309222524718,0.955808342439553,0.983819371166105
"BAI2",1057.29025841523,-0.117062471416818,0.0827554809950964,0.105954646523526,0.318365814463555
"BAI3",42.104740249132,-0.0577138716762984,0.164676723119014,0.370978537355261,0.653788800040915
"BAIAP2-AS1",552.34883994047,-0.112451840725898,0.0968621053255686,0.160232111408424,0.407822301021583
"BAIAP2L1",1681.4322744391,-0.0121940513862724,0.0577984494440919,0.821664996606108,0.933192278671672
"BAIAP3",465.412668788524,-0.224847478168768,0.122706250854702,0.0195307200373582,0.0987733924627528
"BAK1",978.509657238999,0.0198313563314191,0.0823028788976677,0.782427626975256,0.914358423201253
"BAK1P1",45.8372137659101,-0.023312221522282,0.154267444454064,0.717352714589129,0.881889155737479
"BAMBI",3530.12898482444,0.348240469619976,0.0489534658257962,2.40169931799187e-13,1.25727793423419e-11
"BANF1",3060.74472680523,0.0601817745190859,0.0572689037209693,0.261921330737962,0.543812019768615
"BANF1P2",6.00764244473445,0.019283051186188,0.167181970943662,0.492996383977974,NA
"BANF1P3",10.7242389677558,0.00621773343838503,0.163329772815514,0.875657631618572,NA
"BAP1",4006.28979798782,-0.0436720987523368,0.0522277463865402,0.376888985872609,0.65845460029646
