,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
51252,MIR4515,0,0,0,0,0,0
51253,RP11-269G24.3,0,0,0,0,0,0
51254,AL079339.1,0,0,0,0,0,0
51255,RP11-927P21.5,0,0,0,0,0,0
51256,RP11-471L13.3,0,1,5,0,0,0
51257,MIR3135B,0,0,0,0,0,0
51258,RN7SL270P,0,3,2,10,2,0
51259,AC139451.1,0,0,2,0,0,1
51260,MIR548AX,0,0,0,0,0,0
51261,AC007025.1,0,0,0,0,0,0
51262,RN7SL711P,0,0,2,0,0,0
51263,RP11-25L3.3,0,0,0,0,0,0
51264,AC105402.1,0,0,0,0,0,0
51265,RP11-82O19.1,3,12,16,3,6,19
51266,AL356865.1,0,0,0,0,0,0
51267,RN7SL603P,0,2,2,4,2,0
51268,AC087793.1,1,2,3,1,2,5
51269,AC009132.1,0,0,0,0,0,0
51270,AL161891.1,0,0,0,0,0,0
51271,SNORA70D,0,0,1,0,0,2
51272,RP3-416J7.4,0,0,0,0,0,0
51273,RN7SL470P,0,2,1,1,1,0
51274,MIR4457,0,0,0,0,0,0
51275,RN7SL750P,0,1,0,0,0,0
51276,RP11-443G13.2,0,6,6,7,3,5
51277,MIR5581,0,9,5,9,9,2
51278,MIR4632,0,0,0,0,0,0
51279,RP11-17A19.2,0,0,0,0,0,0
51280,AC072031.1,0,0,1,0,0,1
51281,RP11-57A1.1,0,0,0,1,2,1
51282,MIR3197,0,0,1,3,0,0
51283,RP11-93H10.1,0,0,0,0,0,0
51284,RP4-777O23.1,0,0,0,0,0,0
51285,RP11-628O18.1,0,1,1,0,0,0
51286,AC010884.2,0,0,0,0,0,0
51287,AL391375.1,0,0,0,0,0,0
51288,RP11-386P4.1,0,0,0,0,0,0
51289,AC128653.1,0,0,0,0,0,0
51290,AC011591.1,0,0,1,1,0,2
51291,AL355885.1,0,0,0,0,0,2
51292,AC091320.2,0,0,0,0,0,0
51293,MIR3161,0,3,0,0,0,0
51294,RN7SL224P,0,0,0,0,0,0
51295,MIR3621,0,0,0,0,0,0
51296,RP11-408H20.3,0,0,0,3,0,0
51297,MIR5689,0,0,0,0,0,0
51298,RN7SL450P,0,0,0,0,0,2
51299,RP11-597M12.1,0,0,0,0,0,0
51300,RP11-85B7.4,0,2,0,1,0,1
51301,RP11-321A17.4,0,0,0,0,0,0
51302,AC025175.1,0,0,0,0,0,0
51303,RP11-169F17.1,0,0,1,0,0,0
51304,MIR4639,0,1,0,0,1,0
51305,AC109994.1,0,0,0,0,0,0
51306,RN7SL755P,0,0,0,0,0,0
51307,RP11-105N13.4,0,0,0,0,0,0
51308,SLC25A51P2,0,0,0,0,0,0
51309,RP11-466A19.6,1,4,2,0,1,0
51310,RP11-285E9.6,0,0,0,1,0,0
51311,MIR4523,0,0,0,0,0,0
51312,RP11-389J22.1,0,2,3,2,0,0
51313,MIR4444-2,0,0,0,0,0,0
51314,SNORD39,0,0,0,0,0,1
51315,DLGAP1-AS3,2,1,1,5,4,4
51316,FTLP13,0,3,7,0,3,3
51317,CTB-187M2.3,0,3,1,3,10,2
51318,RP11-806L2.5,0,3,8,8,3,7
51319,RP11-746M1.8,0,0,0,0,0,0
51320,MIR3937,0,2,0,0,0,0
51321,RP11-498C9.15,12,148,210,242,159,173
51322,AC012564.1,0,0,0,0,0,0
51323,RP11-47G4.1,0,0,0,0,0,0
51324,MIR4643,0,0,0,0,0,0
51325,MIR4662A,0,0,0,0,0,0
51326,RN7SL476P,0,0,0,0,0,0
51327,AC079233.1,0,0,0,0,0,0
51328,RN7SL4P,0,71,92,94,63,53
51329,MIR548AS,0,0,0,0,0,0
51330,MIR3165,0,0,0,0,0,0
51331,AC017028.2,0,0,0,0,0,0
51332,MIR3664,0,0,0,0,0,0
51333,RP11-161I6.2,15,50,94,61,49,27
51334,MIR4277,0,0,0,0,0,0
51335,EXOGP1,0,0,0,0,0,0
51336,OOSP1P2,0,0,0,0,0,0
51337,MIR548AV,0,0,0,1,0,0
51338,AL122127.1,0,0,0,0,0,0
51339,MIR3133,0,0,0,0,0,0
51340,LINC00667,65,827,1194,823,790,553
51341,CR786580.2,0,0,0,0,0,0
51342,RN7SL498P,1,0,0,0,1,0
51343,XXbac-BPG181M17.6,0,0,0,0,0,0
51344,AC027288.1,0,0,0,0,0,0
51345,AC122714.1,0,1,2,0,0,0
51346,MIR4286,0,0,0,0,0,0
51347,MIR3686,0,0,0,0,0,0
51348,SNORD43,0,0,0,0,1,0
51349,RP11-746B8.1,0,1,0,1,2,1
51350,RP11-580I16.2,0,17,32,34,26,16
51351,AC083906.1,0,0,0,0,0,0
51352,AC060226.1,0,0,1,0,0,0
51353,RN7SL367P,0,0,0,0,2,0
51354,AL031666.1,0,2,2,0,0,1
51355,RP11-549B18.3,0,0,0,0,0,0
51356,AC017104.1,0,1,0,0,0,1
51357,AC080008.1,0,0,0,0,0,0
51358,SNORA4,0,0,0,0,0,0
51359,RN7SL467P,0,0,0,0,0,0
51360,AC005621.1,0,0,0,0,0,0
51361,RP11-321A17.3,1,10,16,22,14,15
51362,AC117481.1,0,0,0,0,0,0
51363,MIR5590,0,0,0,0,0,0
51364,AL136418.1,0,0,0,0,0,0
51365,MIR3182,0,2,0,0,0,0
51366,RP11-649A18.4,3,28,40,31,19,20
51367,RP11-456D7.1,0,1,0,0,0,0
51368,CTD-2008P7.7,0,0,0,0,0,0
51369,MIR4473,0,0,0,0,0,0
51370,MIR4727,0,0,0,0,0,0
51371,MIR3115,0,0,0,1,0,0
51372,RN7SL457P,0,0,0,0,0,0
51373,MIR5100,0,0,0,0,0,0
51374,RN7SL609P,0,0,0,2,0,0
51375,RP11-146G7.2,0,0,0,0,0,0
51376,RP11-6N17.9,0,0,0,0,0,0
51377,MIR5684,0,0,0,0,0,0
51378,AL121655.1,0,0,0,0,0,0
51379,RN7SL816P,0,0,0,0,0,0
51380,RN7SL409P,0,0,0,1,0,0
51381,AL450244.1,0,0,0,0,0,0
51382,AC093376.1,0,0,0,0,0,0
51383,RP11-849F2.7,1,6,17,4,10,4
51384,AC055723.1,0,0,0,0,0,0
51385,MIR3675,0,0,0,0,0,0
51386,LINC00908,0,5,7,1,2,0
51387,MIR3679,0,0,2,0,0,1
