Geneid	_filesTien_Cont1_S25sorted	_filesTien_Cont2_S26sorted	_filesTien_Cont3_S27sorted	_filesTien_Zn1_S28sorted	_filesTien_Zn2_S29sorted	_filesTien_Zn3_S30sorted
ENSG0000017160312	479	5936	8592	6620	5992	3844
ENSG000002712641	0	0	0	0	0	0
ENSG0000017858510	133	1792	2322	1715	1444	1102
ENSG000002239891	0	0	0	0	0	0
ENSG000001624417	54	692	888	864	731	466
ENSG000002281501	0	4	15	4	7	1
ENSG000001736149	29	247	280	284	232	143
ENSG000002024151	0	4	5	5	3	0
ENSG000002655211	4	1	0	1	0	2
ENSG000002413261	0	0	0	0	0	0
ENSG0000016244411	1	43	56	79	49	58
ENSG000002257862	0	0	0	0	0	1
ENSG0000013093914	452	6327	8867	6158	5510	3623
ENSG000002243401	0	3	1	0	2	1
ENSG000002336232	0	0	0	3	1	0
ENSG000002017461	0	2	6	5	1	0
ENSG0000005452312	410	6171	8704	6717	5706	3844
ENSG000002648811	0	0	0	0	0	0
ENSG000001995621	0	5	10	13	5	3
ENSG000002645011	0	0	0	0	0	0
ENSG000002659451	0	6	3	3	8	0
ENSG0000014265716	890	11787	17010	14539	12998	8931
ENSG000002719891	0	1	1	2	1	0
ENSG0000017527917	7	96	126	115	122	75
ENSG000002515033	0	0	0	0	0	0
ENSG000002415632	4	5	15	6	14	3
ENSG000001600497	357	5184	7601	7569	6345	4412
ENSG000002034692	0	0	0	0	0	0
ENSG000001426558	83	917	1358	1203	1105	687
ENSG000002432672	0	4	4	3	0	0
ENSG0000013094010	5	113	113	103	114	60
ENSG000002720781	0	8	17	10	14	2
ENSG000002251582	0	0	0	0	0	0
ENSG0000017526210	0	9	4	4	1	1
ENSG000002157852	0	0	0	0	2	4
ENSG000002641811	0	0	0	0	0	0
ENSG000002072131	0	0	0	0	0	0
ENSG0000012094811	853	11947	17156	14144	12724	8934
ENSG0000000972412	5	91	150	119	103	64
ENSG000002718951	2	34	48	39	35	18
ENSG000001166495	255	3240	4683	4630	3963	2572
ENSG000001718249	213	2677	3975	3795	3296	2177
ENSG000002268491	0	8	9	11	2	6
ENSG000002303371	0	2	1	5	5	6
ENSG000001987938	469	5962	8606	6794	6045	3989
ENSG000002256021	0	1	1	2	1	0
ENSG000002530861	0	0	1	1	0	1
ENSG000002717941	0	0	0	0	0	0
ENSG000001718194	0	0	3	5	0	0
ENSG000002074511	0	0	1	0	0	0
ENSG000002381731	0	0	0	0	0	0
ENSG000001209429	57	928	1331	1109	963	672
ENSG000002381991	0	7	4	4	7	1
ENSG000002243382	0	0	0	1	0	0
ENSG000002046246	26	315	472	394	345	243
ENSG000002356431	0	2	8	0	2	0
ENSG000001166619	48	647	1003	846	689	537
ENSG000001328799	84	806	1057	1100	878	641
ENSG000001166636	12	187	224	228	174	98
ENSG0000011667010	493	6522	8870	6764	6176	3954
ENSG000001624906	304	3691	5099	4136	3751	2431
ENSG0000017767411	70	964	1411	1175	1092	687
ENSG000002159103	3	47	61	16	50	22
ENSG000001775536	0	1	0	0	2	0
ENSG000001770006	29	523	699	494	371	280
ENSG0000001102117	79	1079	1588	1224	1107	800
ENSG000002423491	2	8	30	23	9	2
ENSG000001752066	2	3	18	13	6	2
ENSG000001209378	0	2	2	15	7	6
ENSG000002249041	0	0	0	0	0	1
ENSG000001993471	0	4	1	6	6	2
ENSG000002018011	0	2	0	2	0	0
ENSG0000011668511	118	1930	2718	2471	1987	1402
ENSG0000008344412	176	2503	3500	2867	2618	1629
ENSG0000011668812	288	3776	5414	5076	4478	2959
ENSG000002709141	0	0	0	1	0	0
ENSG000001166916	113	1796	2494	1961	1770	1261
ENSG000002024611	0	10	11	22	18	12
ENSG000002435392	0	2	2	2	2	0
ENSG0000012094910	167	2331	3331	2929	2752	1793
ENSG000002011351	0	1	2	3	5	0
ENSG000002278752	0	1	2	4	0	1
ENSG0000002813712	9	176	211	224	229	133
ENSG000002636761	0	0	0	0	0	0
ENSG000002251962	0	1	0	0	0	0
ENSG000002529691	0	0	0	0	0	0
ENSG000000487079	82	1604	2405	1682	1639	1051
ENSG000002391491	0	2	8	7	13	4
ENSG000002294841	0	0	0	0	0	0
ENSG000001624964	41	387	545	413	363	259
ENSG000002213401	2	1	0	5	4	2
ENSG000002724821	2	11	6	6	4	6
ENSG000002045182	0	0	0	0	0	0
ENSG000002261662	0	0	0	0	0	0
ENSG000001889847	8	81	133	115	108	81
ENSG000002387711	0	1	3	5	0	0
ENSG000001573305	0	8	1	2	1	1
ENSG000001167264	0	0	0	0	0	0
ENSG000001167219	0	0	0	0	0	0
ENSG000002283381	0	0	0	0	0	0
ENSG000002045135	0	0	0	0	0	0
ENSG000002311032	0	0	0	0	0	0
ENSG000001791727	1	2	7	9	8	11
ENSG000001209524	0	0	0	0	0	0
ENSG000002430733	0	0	2	0	0	0
ENSG000001875455	0	0	0	0	0	2
ENSG000002045101	0	0	0	0	0	0
ENSG000002074341	0	0	0	0	0	0
ENSG000002340641	0	0	0	0	0	0
ENSG000002324233	0	0	0	0	0	0
ENSG000002508941	0	0	0	0	0	0
ENSG000002045083	0	0	0	0	0	0
ENSG000002398102	0	0	0	0	0	0
ENSG000002706011	0	0	0	0	0	0
ENSG000002501131	0	0	0	0	0	0
ENSG000002045053	0	0	0	0	0	0
ENSG000002333361	0	0	0	0	0	0
ENSG000002299781	0	0	0	0	0	0
ENSG000002361791	0	0	0	0	0	0
ENSG000001794128	0	0	2	0	1	0
ENSG000002241991	0	0	0	0	0	0
ENSG000002295712	0	0	0	0	0	0
ENSG000002045035	0	0	0	0	0	0
ENSG000002333941	0	0	0	0	0	0
ENSG000002045022	0	0	0	0	0	0
ENSG000002312191	0	0	0	0	0	0
ENSG000002075111	0	0	0	0	0	0
ENSG000001823306	0	0	0	0	0	0
ENSG000002377001	0	0	0	0	0	0
ENSG000002045012	0	0	0	0	0	0
ENSG000002282292	0	0	0	0	0	0
ENSG000002044953	0	0	0	0	0	0
ENSG000002044912	0	0	0	0	0	0
ENSG000002044883	0	0	0	0	0	0
ENSG000002044863	0	0	0	0	0	0
ENSG000002044852	0	0	0	0	0	0
ENSG000002245811	0	0	0	0	0	0
ENSG000001573587	0	0	0	0	0	0
ENSG000002044816	0	0	0	0	0	0
ENSG000002044806	0	0	0	0	0	0
ENSG000002044794	0	0	0	0	0	0
ENSG000002044785	0	0	0	0	0	0
ENSG000001624945	0	3	0	4	4	0
ENSG000002599611	0	0	0	0	0	0
ENSG000002159093	0	0	0	0	0	0
ENSG0000016249312	287	4024	6116	4353	3949	2641
ENSG000002229521	0	0	0	0	0	0
ENSG000002663581	0	0	0	1	0	0
ENSG000002374452	0	0	0	2	1	0
ENSG000002530851	0	0	0	0	0	0
ENSG0000011673118	94	1093	1598	1410	1347	946
ENSG000002521511	0	0	0	0	0	0
ENSG000002316061	0	0	0	0	0	0
ENSG000002345931	0	0	0	0	1	0
ENSG0000018933711	50	725	1208	1255	1124	736
ENSG000002358291	0	0	5	8	0	10
ENSG000001751477	0	1	2	1	2	0
ENSG000001717299	15	123	190	152	112	93
ENSG000002044643	0	2	0	3	0	2
ENSG000002157204	0	0	0	0	0	1
ENSG0000014262115	0	37	57	30	21	18
ENSG000002334851	0	0	0	1	0	0
ENSG000002360451	0	0	1	1	1	0
ENSG000002281401	0	6	2	2	2	0
ENSG000001426348	135	1425	2135	1697	1462	992
ENSG000001624387	0	1	1	0	1	0
ENSG000001426157	0	0	0	0	0	0
ENSG000002157045	1	2	3	4	4	3
ENSG0000013290613	47	406	513	436	375	229
ENSG000001161388	79	1040	1422	1090	1037	722
ENSG000002518661	0	0	0	0	0	0
ENSG000002725101	0	3	0	1	0	2
ENSG000001167715	23	374	560	479	468	301
ENSG000002373011	0	33	27	13	27	12
ENSG000002350842	1	6	17	8	15	8
ENSG000002524171	0	0	0	0	1	0
ENSG000002365001	0	0	0	0	0	0
