gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
YLR146C,908.153011931304,-1.01740235034125,0.246199476952805,1.4047025175746e-05,5.72830387080223e-05
YER145C-A,44.2890550604356,-1.5973734307036,0.403944622372136,1.4063339651743e-05,5.7311386157336e-05
YJL088W,811.483533417291,-2.55395667013868,0.682494992731707,1.40774197503798e-05,5.73305963353792e-05
YOL085W-A,35.2261520963127,1.72732949772923,0.438548321018454,1.4087059038371e-05,5.73317076953917e-05
YPL157W,671.212067297995,-0.794049641512558,0.189136716384096,1.41644616856784e-05,5.76084185900581e-05
YOR046C,2960.22143846786,-0.787496404888025,0.187195762122833,1.4242113830733e-05,5.78857760676738e-05
YJL208C,711.508033779405,-1.67483999659717,0.427654450322865,1.43595577391544e-05,5.83243881362736e-05
YDL232W,727.984575714029,-0.821560435116637,0.195993666823269,1.44906356854044e-05,5.88177593039526e-05
YDR481C,2329.51387028807,-0.703266736046896,0.166376747809345,1.46521291117952e-05,5.94338517516887e-05
YHR215W,207.295363076488,-1.9675044334816,0.512191247577642,1.47563355324557e-05,5.98169071484513e-05
YML054C,1316.08008445445,1.56561108272739,0.396091852832929,1.48038377344132e-05,5.9969749022067e-05
YBR010W,9801.06090854486,-0.957853119539972,0.230742528085197,1.48932684720978e-05,6.02921271942532e-05
YER169W,898.215880149645,0.948389735916883,0.228647465489725,1.49323745774155e-05,6.04104856499407e-05
YJR016C,9759.90137957547,-1.56415557962667,0.397486843808333,1.51200478610596e-05,6.11293348464635e-05
YHR113W,1786.69879025563,0.964810932544224,0.233010548441416,1.52142414026211e-05,6.14695522280155e-05
YBR111C,7720.36907899737,0.82966507253775,0.198380971300364,1.53041920059582e-05,6.17921894910754e-05
YOR163W,1786.04217222568,0.79030558595159,0.188451661973621,1.5362732053096e-05,6.19876617646674e-05
YMR131C,2751.45638644719,-2.19671438340372,0.581395437216916,1.54571165783855e-05,6.23274114468363e-05
YJR100C,1701.7198251725,0.814206148219123,0.194697922377516,1.55931442402397e-05,6.28345200095505e-05
YOL090W,818.488922447411,-0.771080925370887,0.184002188503026,1.56926832427922e-05,6.31940224533757e-05
YDR347W,2147.77826694232,1.07004837163584,0.26139604060426,1.57304568578483e-05,6.33044881176129e-05
YOR260W,1653.14962947216,-0.778139921295404,0.185850824410531,1.57920908406786e-05,6.35107674348184e-05
YDL153C,1545.6648833048,-1.73413834061151,0.450286480829954,1.627756299043e-05,6.54201989917414e-05
YER069W,2182.611129187,-1.65719443955159,0.428215253166812,1.65970421447008e-05,6.6660429768841e-05
YPR062W,3285.51857829496,-0.839120218831728,0.201997579413126,1.66350244296309e-05,6.67691701860791e-05
YDR513W,5629.13752129587,1.03212457087977,0.252259790805231,1.69595736959548e-05,6.80272284357402e-05
YHR047C,1089.9861778595,-0.729487025513255,0.174259337615945,1.71454382481354e-05,6.872771939544e-05
YHR079C-A,15.4843789600438,2.60578754148202,0.684761269840625,1.72018546743832e-05,6.89087385221855e-05
YOL053W,1341.88635635645,0.900774557826118,0.218102196682404,1.72745681310089e-05,6.91547622824756e-05
YPL030W,447.083538228169,-1.00972108935295,0.247078453178283,1.73278332527111e-05,6.93226583920554e-05
YMR182C,248.587392427218,1.11794784850994,0.276022474237442,1.76743023703071e-05,7.06625766222402e-05
YDR183C-A,50.6709198534068,-2.11986217784316,0.562451855944767,1.77447658353994e-05,7.08979841243342e-05
YDL060W,1145.98286835286,-1.86837385578038,0.489932261605022,1.78789402771324e-05,7.13874712565736e-05
YDR285W,433.743774599329,0.819295574125893,0.197725726401195,1.82558938783405e-05,7.28450628613574e-05
YOR247W,1210.34954246651,-1.55384213212511,0.398694060281343,1.8361665735152e-05,7.3189520454189e-05
YFR003C,2375.73109120296,0.88466397559212,0.214634221839699,1.83661335431522e-05,7.3189520454189e-05
YPR121W,552.520921679155,0.971026531786213,0.237354077432293,1.85320580519689e-05,7.38026853195195e-05
YEL068C,393.229431090343,0.896768225018115,0.218036800124483,1.87188017534549e-05,7.44979099693743e-05
YJL116C,832.001639802863,1.49911867455235,0.383253327597105,1.89784868792838e-05,7.54823380039612e-05
YJL076W,655.341915673686,-0.9639960952296,0.23629346641451,1.91217100535091e-05,7.60025891152785e-05
YHR068W,2387.76361940015,-1.24788460152027,0.314002224191234,1.95355815049732e-05,7.75972059649195e-05
YAR002C-A,3454.66706788847,-0.664999185909037,0.159379120870964,1.95823678710056e-05,7.77326029432072e-05
YGL126W,2021.97304672912,1.05839318018509,0.261650113594155,1.971933470856e-05,7.82255656196344e-05
YMR221C,791.14058974486,-0.976412333504311,0.240084581598985,1.97989633271877e-05,7.84905793560337e-05
YOR352W,869.781667437591,1.03246969930425,0.254757197823199,1.98320568767689e-05,7.85708868237557e-05
YOR138C,1733.03409106723,0.86702115332676,0.211008438819553,1.98463669118694e-05,7.85767217772009e-05
YDR179C,278.728471192768,-1.19869464296893,0.300743289168407,2.0032073657795e-05,7.92607129019799e-05
YNL313C,664.57919543069,-1.47904663078784,0.380047882110439,2.01233607223271e-05,7.95704722101834e-05
YPL234C,3213.00375347433,-0.891698051126738,0.217943720278922,2.02184958447039e-05,7.98950374857536e-05
YKL007W,2728.97693725637,0.750661458261588,0.181316437566781,2.0540097518574e-05,8.11135076846397e-05
YHR196W,1852.12800415179,-1.69783002075349,0.444271578748108,2.05760270347151e-05,8.12030054671124e-05
YGR204W,2737.52807595088,-0.875755958647993,0.214023096496482,2.06867770990998e-05,8.15874759172615e-05
YKR093W,526.428085103974,-1.78465653239715,0.470739855821052,2.08070793479929e-05,8.20091002505244e-05
YMR157C,1602.77476516924,1.20934111382332,0.303904310161746,2.08426401845142e-05,8.20963967628128e-05
YBR022W,1142.51979902464,0.914738981243415,0.224193919094265,2.09400356672021e-05,8.24269828417648e-05
YLR063W,114.37915363894,-1.38887920700386,0.355146520029524,2.10635019892067e-05,8.28597015912174e-05
